# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1788181958716000000,1788182018927000000,1
workspaceModel.moduleBridge.before.changed.ms,1788181958716000000,1788182018927000000,0
jps.global.initialize.library.bridges.after.loading.ms,1788181958716000000,1788182018927000000,2
workspaceModel.moduleManagerBridge.load.all.modules.ms,1788181958716000000,1788182018927000000,36
workspaceModel.load.cache.metadata.from.file.ms,1788181958716000000,1788182018927000000,11
workspaceModel.load.cache.from.file.ms,1788181958716000000,1788182018927000000,210
jps.save.changed.project.entities.ms,1788181958716000000,1788182018927000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1788181958716000000,1788182018927000000,304
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1788181958716000000,1788182018927000000,0
jps.global.initialize.library.bridges.ms,1788181958716000000,1788182018927000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1788181958716000000,1788182018927000000,0
workspaceModel.mutableEntityStorage.instances.count,1788181958716000000,1788182018927000000,43
workspaceModel.delayed.project.synchronizer.sync.ms,1788181958716000000,1788182018927000000,0
workspaceModel.mutableEntityStorage.entities.ms,1788181958716000000,1788182018927000000,1
jps.library.entities.serializer.save.entities.ms,1788181958716000000,1788182018927000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1788181958716000000,1788182018927000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1788181958716000000,1788182018927000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1788181958716000000,1788182018927000000,9
jps.artifact.entities.serializer.load.entities.ms,1788181958716000000,1788182018927000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1788181958716000000,1788182018927000000,3
workspaceModel.moduleBridge.update.option.ms,1788181958716000000,1788182018927000000,0
workspaceModel.do.save.caches.ms,1788181958716000000,1788182018927000000,93
jps.artifact.entities.serializer.save.entities.ms,1788181958716000000,1788182018927000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1788181958716000000,1788182018927000000,0
jps.project.serializers.save.ms,1788181958716000000,1788182018927000000,0
jps.library.entities.serializer.load.entities.ms,1788181958716000000,1788182018927000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1788181958716000000,1788182018927000000,0
jps.reload.project.entities.ms,1788181958716000000,1788182018927000000,0
jps.global.handle.changed.events.ms,1788181958716000000,1788182018927000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1788181958716000000,1788182018927000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1788181958716000000,1788182018927000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1788181958716000000,1788182018927000000,1
workspaceModel.sync.entities.ms,1788181958716000000,1788182018927000000,12
workspaceModel.mutableEntityStorage.put.entity.ms,1788181958716000000,1788182018927000000,42
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1788181958716000000,1788182018927000000,0
jps.save.global.entities.ms,1788181958716000000,1788182018927000000,0
jps.app.storage.content.reader.load.component.ms,1788181958716000000,1788182018927000000,1
jps.facet.change.listener.init.bridge.ms,1788181958716000000,1788182018927000000,2
workspaceModel.mutableEntityStorage.remove.entity.ms,1788181958716000000,1788182018927000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1788181958716000000,1788182018927000000,0
jps.module.iml.entities.serializer.save.entities.ms,1788181958716000000,1788182018927000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1788181958716000000,1788182018927000000,111
workspaceModel.global.apply.state.to.project.builder.ms,1788181958716000000,1788182018927000000,21
jps.global.handle.before.change.events.ms,1788181958716000000,1788182018927000000,0
Indexes.entries.lookupDurationAvgMs,1788181958716000000,1788182018927000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1788181958716000000,1788182018927000000,0.0
Indexing.cache.totalCacheMisses,1788181958716000000,1788182018927000000,129226
Indexing.cache.totalCacheAccesses,1788181958716000000,1788182018927000000,337348
Indexes.entries.lookups,1788181958716000000,1788182018927000000,2
Indexes.entries.lookupDuration90PMs,1788181958716000000,1788182018927000000,0.0
Indexing.cache.totalCacheEvicted,1788181958716000000,1788182018927000000,129226
Indexing.writesQueuedMax,1788181958716000000,1788182018927000000,0
Indexes.stubs.lookupDurationMaxMs,1788181958716000000,1788182018927000000,0.0
Indexes.entries.lookupDurationMaxMs,1788181958716000000,1788182018927000000,0.0
Indexes.allKeys.lookupDuration90PMs,1788181958716000000,1788182018927000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1788181958716000000,1788182018927000000,0.0
Indexing.writesQueuedMin,1788181958716000000,1788182018927000000,9223372036854775807
Indexing.writer_3.totalTimeSpentWritingMs,1788181958716000000,1788182018927000000,167
Indexes.stubs.lookupDurationAvgMs,1788181958716000000,1788182018927000000,0.0
Indexes.allKeys.lookups,1788181958716000000,1788182018927000000,1
Indexing.writer_0.totalTimeSpentWritingMs,1788181958716000000,1788182018927000000,537
Indexes.stubs.lookupDuration90PMs,1788181958716000000,1788182018927000000,0.0
Indexing.totalTimeIndexersSleptMs,1788181958716000000,1788182018927000000,0
Indexes.stubs.lookups,1788181958716000000,1788182018927000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1788181958716000000,1788182018927000000,553
Indexing.writer_2.totalTimeSpentWritingMs,1788181958716000000,1788182018927000000,629
